Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"India","Asia/Pacific","IND","Subnat","INDr136","Andaman and Nicobar Islands",74.46,74.97,75.47,75.51,75.60,75.66,75.72,75.81,75.90,76.00,76.15,76.25,76.48,76.65,76.76,76.92,77.01,76.84,76.65,76.47,76.34,76.26,76.27,76.34,76.44,76.49,76.45,75.91,75.27,74.59,73.79,70.73,71.26
"India","Asia/Pacific","IND","Subnat","INDr101","Andhra Pradesh",61.16,61.58,62.00,62.17,62.37,62.56,62.76,62.97,63.18,63.40,63.81,64.19,64.67,65.10,65.48,65.90,66.27,66.61,66.93,67.25,67.61,68.02,68.51,69.05,69.62,70.15,70.59,70.94,71.18,71.38,70.61,67.69,68.19
"India","Asia/Pacific","IND","Subnat","INDr125","Arunachal Pradesh",62.36,62.79,63.21,63.30,63.44,63.55,63.66,63.80,63.93,64.07,64.06,64.00,64.04,64.03,63.97,63.96,63.88,64.69,65.48,66.27,67.09,67.97,68.92,69.92,70.96,71.95,72.86,73.66,74.35,74.99,74.19,71.11,71.65
"India","Asia/Pacific","IND","Subnat","INDr102","Assam",56.30,56.68,57.06,58.15,59.27,60.37,61.48,62.61,63.74,64.88,64.79,64.65,64.62,64.54,64.41,64.32,64.17,64.58,64.98,65.38,65.81,66.30,66.86,67.46,68.11,68.70,69.22,70.11,70.89,71.62,70.85,67.91,68.42
"India","Asia/Pacific","IND","Subnat","INDr103","Bihar",56.93,57.33,57.71,58.18,58.69,59.18,59.68,60.19,60.70,61.23,61.59,61.91,62.33,62.71,63.04,63.40,63.72,64.17,64.60,65.04,65.51,66.03,66.63,67.27,67.95,68.58,69.13,69.08,68.92,68.72,67.98,65.16,65.65
"India","Asia/Pacific","IND","Subnat","INDr131","Chandigarth",71.82,72.31,72.80,72.84,72.92,72.97,73.04,73.12,73.21,73.30,73.45,73.55,73.77,73.93,74.04,74.19,74.28,74.11,73.94,73.76,73.63,73.56,73.57,73.63,73.73,73.78,73.74,73.77,73.68,73.56,72.77,69.75,70.27
"India","Asia/Pacific","IND","Subnat","INDr129","Chhattisgarh",65.77,66.22,66.67,66.70,66.78,66.83,66.89,66.97,67.04,67.13,67.27,67.36,67.56,67.71,67.81,67.95,68.03,67.87,67.71,67.55,67.43,67.36,67.38,67.43,67.53,67.57,67.53,68.53,69.43,70.27,69.52,66.63,67.13
"India","Asia/Pacific","IND","Subnat","INDr132","Dadra and Nagar Haveli",70.85,71.34,71.82,71.85,71.93,71.99,72.05,72.14,72.22,72.31,72.46,72.56,72.78,72.94,73.04,73.19,73.28,73.11,72.94,72.77,72.64,72.56,72.58,72.64,72.74,72.78,72.75,72.59,72.32,72.01,71.24,68.29,68.80
"India","Asia/Pacific","IND","Subnat","INDr134","Daman and Diu",71.30,71.79,72.28,72.31,72.40,72.45,72.52,72.60,72.68,72.78,72.92,73.02,73.24,73.40,73.51,73.66,73.75,73.58,73.41,73.24,73.10,73.03,73.04,73.10,73.20,73.25,73.21,73.76,74.19,74.57,73.77,70.71,71.24
"India","Asia/Pacific","IND","Subnat","INDr104","Goa",68.58,69.05,69.51,69.40,69.33,69.24,69.16,69.09,69.02,68.97,69.57,70.12,70.80,71.42,71.98,72.60,73.15,73.30,73.43,73.57,73.74,73.97,74.29,74.66,75.07,75.43,75.70,75.86,75.90,75.90,75.09,71.97,72.51
"India","Asia/Pacific","IND","Subnat","INDr105","Gujarat",60.26,60.67,61.08,61.39,61.74,62.06,62.40,62.75,63.10,63.46,63.90,64.30,64.80,65.25,65.65,66.10,66.49,66.88,67.26,67.64,68.05,68.52,69.06,69.66,70.29,70.87,71.37,71.54,71.61,71.64,70.87,67.93,68.44
"India","Asia/Pacific","IND","Subnat","INDr106","Haryana",59.84,60.25,60.65,61.23,61.85,62.45,63.06,63.68,64.30,64.94,65.53,66.08,66.73,67.34,67.90,68.50,69.04,69.24,69.43,69.62,69.85,70.14,70.50,70.91,71.37,71.77,72.08,71.87,71.56,71.21,70.45,67.53,68.03
"India","Asia/Pacific","IND","Subnat","INDr107","Himachal Pradesh",62.55,62.98,63.41,64.21,65.05,65.86,66.69,67.53,68.38,69.24,69.56,69.84,70.23,70.57,70.86,71.19,71.46,71.42,71.37,71.32,71.32,71.37,71.50,71.68,71.90,72.07,72.15,72.52,72.77,72.99,72.20,69.21,69.73
"India","Asia/Pacific","IND","Subnat","INDr108","Jammu and Kashmir",64.64,65.08,65.52,65.42,65.37,65.29,65.22,65.16,65.11,65.06,65.74,66.37,67.11,67.80,68.45,69.14,69.77,69.94,70.10,70.27,70.47,70.72,71.06,71.45,71.87,72.25,72.54,73.49,74.32,75.10,74.30,71.21,71.75
"India","Asia/Pacific","IND","Subnat","INDr128","Jharkhand",67.53,67.99,68.45,68.48,68.56,68.62,68.68,68.76,68.83,68.92,69.06,69.16,69.36,69.52,69.62,69.76,69.84,69.69,69.52,69.36,69.23,69.16,69.17,69.23,69.33,69.37,69.34,69.63,69.82,69.96,69.21,66.34,66.84
"India","Asia/Pacific","IND","Subnat","INDr109","Karnataka",60.43,60.85,61.26,61.67,62.13,62.56,63.01,63.46,63.92,64.40,64.91,65.38,65.96,66.49,66.98,67.50,67.97,68.43,68.87,69.31,69.79,70.32,70.93,71.59,72.30,72.95,73.51,73.47,73.33,73.14,72.36,69.36,69.88
"India","Asia/Pacific","IND","Subnat","INDr110","Kerala",68.63,69.11,69.57,69.99,70.46,70.90,71.35,71.82,72.29,72.77,73.14,73.45,73.88,74.26,74.59,74.96,75.26,75.37,75.45,75.55,75.68,75.87,76.16,76.49,76.86,77.18,77.41,77.32,77.11,76.86,76.03,72.88,73.43
"India","Asia/Pacific","IND","Subnat","INDr135","Lakshadweep",72.12,72.61,73.10,73.14,73.22,73.28,73.34,73.43,73.51,73.61,73.76,73.86,74.08,74.24,74.35,74.50,74.59,74.42,74.24,74.07,73.93,73.86,73.87,73.93,74.04,74.09,74.05,73.83,73.51,73.15,72.36,69.36,69.88
"India","Asia/Pacific","IND","Subnat","INDr111","Madhya Pradesh",56.36,56.74,57.13,57.19,57.29,57.38,57.46,57.57,57.67,57.78,58.49,59.16,59.93,60.65,61.33,62.06,62.73,63.15,63.55,63.96,64.40,64.89,65.46,66.07,66.72,67.32,67.84,68.50,69.06,69.57,68.82,65.97,66.46
"India","Asia/Pacific","IND","Subnat","INDr112","Maharashtra",63.61,64.05,64.48,64.70,64.95,65.19,65.43,65.69,65.95,66.22,66.74,67.22,67.80,68.34,68.83,69.36,69.84,70.11,70.38,70.64,70.94,71.30,71.74,72.23,72.76,73.23,73.63,73.64,73.54,73.40,72.61,69.60,70.12
"India","Asia/Pacific","IND","Subnat","INDr113","Manipur",65.74,66.19,66.63,66.71,66.83,66.92,67.03,67.15,67.27,67.40,67.82,68.20,68.69,69.13,69.52,69.95,70.32,70.58,70.82,71.06,71.34,71.68,72.10,72.56,73.07,73.53,73.90,73.76,73.52,73.23,72.45,69.44,69.96
"India","Asia/Pacific","IND","Subnat","INDr114","Meghalaya",65.09,65.53,65.98,65.01,64.07,63.12,62.17,61.23,60.29,59.36,60.43,61.47,62.61,63.71,64.76,65.85,66.89,67.29,67.68,68.07,68.49,68.97,69.53,70.13,70.78,71.37,71.88,71.85,71.71,71.53,70.77,67.83,68.34
"India","Asia/Pacific","IND","Subnat","INDr115","Mizoram",70.76,71.25,71.73,71.11,70.54,69.94,69.35,68.77,68.20,67.63,68.05,68.44,68.93,69.38,69.77,70.20,70.58,70.42,70.24,70.08,69.94,69.87,69.88,69.93,70.02,70.06,70.02,71.13,72.13,73.08,72.30,69.30,69.82
"India","Asia/Pacific","IND","Subnat","INDr116","Nagaland",72.81,73.31,73.81,72.73,71.69,70.63,69.58,68.54,67.49,66.46,66.60,66.71,66.92,67.08,67.19,67.34,67.43,67.87,68.30,68.73,69.19,69.71,70.31,70.96,71.64,72.28,72.83,72.98,73.01,73.01,72.23,69.23,69.75
"India","Asia/Pacific","IND","Subnat","INDr124","New Delhi",63.31,63.75,64.17,64.66,65.20,65.70,66.22,66.76,67.29,67.84,68.28,68.68,69.19,69.64,70.05,70.50,70.89,71.03,71.16,71.29,71.46,71.69,72.00,72.35,72.75,73.10,73.36,73.20,72.95,72.65,71.87,68.89,69.40
"India","Asia/Pacific","IND","Subnat","INDr117","Orissa",56.90,57.29,57.68,58.07,58.49,58.90,59.32,59.75,60.18,60.62,61.14,61.62,62.20,62.74,63.23,63.76,64.24,64.67,65.08,65.50,65.95,66.46,67.04,67.66,68.33,68.94,69.48,69.97,70.35,70.70,69.94,67.04,67.54
"India","Asia/Pacific","IND","Subnat","INDr133","Puducherry",72.72,73.22,73.71,73.75,73.83,73.89,73.95,74.04,74.12,74.22,74.37,74.47,74.69,74.86,74.97,75.12,75.21,75.04,74.86,74.69,74.55,74.48,74.49,74.55,74.66,74.70,74.66,75.34,75.90,76.41,75.59,72.45,73.00
"India","Asia/Pacific","IND","Subnat","INDr118","Punjab",64.52,64.96,65.40,65.47,65.59,65.69,65.79,65.92,66.04,66.17,66.67,67.13,67.70,68.22,68.69,69.20,69.66,69.86,70.05,70.24,70.47,70.76,71.12,71.54,72.00,72.40,72.72,72.50,72.17,71.81,71.04,68.09,68.60
"India","Asia/Pacific","IND","Subnat","INDr119","Rajasthan",59.84,60.25,60.66,60.49,60.35,60.19,60.04,59.91,59.77,59.64,60.33,60.97,61.71,62.41,63.07,63.76,64.40,64.87,65.32,65.78,66.26,66.80,67.42,68.08,68.78,69.43,70.00,70.52,70.92,71.28,70.52,67.60,68.10
"India","Asia/Pacific","IND","Subnat","INDr120","Sikkim",62.96,63.39,63.82,63.85,63.92,63.97,64.03,64.10,64.17,64.26,65.30,66.30,67.41,68.48,69.49,70.56,71.56,71.71,71.84,71.98,72.15,72.38,72.70,73.06,73.47,73.82,74.08,74.28,74.37,74.42,73.62,70.57,71.10
"India","Asia/Pacific","IND","Subnat","INDr121","Tamil Nadu",61.25,61.67,62.08,62.74,63.44,64.11,64.79,65.49,66.20,66.91,67.52,68.09,68.76,69.39,69.97,70.59,71.15,71.38,71.59,71.80,72.05,72.36,72.76,73.20,73.68,74.11,74.45,74.33,74.11,73.84,73.05,70.02,70.54
"India","Asia/Pacific","IND","Subnat","INDr130","Telangana",69.66,70.14,70.61,70.65,70.73,70.78,70.85,70.93,71.01,71.10,71.24,71.34,71.55,71.71,71.81,71.96,72.05,71.89,71.72,71.55,71.42,71.35,71.36,71.42,71.52,71.56,71.53,71.95,72.27,72.55,71.77,68.79,69.31
"India","Asia/Pacific","IND","Subnat","INDr126","Tripura",59.00,59.41,59.81,60.71,61.65,62.57,63.50,64.45,65.40,66.37,66.46,66.51,66.67,66.78,66.84,66.93,66.97,67.51,68.02,68.54,69.09,69.70,70.38,71.12,71.89,72.61,73.25,72.27,71.18,70.07,69.32,66.44,66.94
"India","Asia/Pacific","IND","Subnat","INDr123","Uttar Pradesh",54.86,55.24,55.61,56.06,56.54,57.00,57.47,57.96,58.44,58.94,59.43,59.89,60.44,60.95,61.41,61.92,62.37,62.65,62.92,63.19,63.49,63.85,64.28,64.75,65.26,65.72,66.10,66.99,67.78,68.52,67.78,64.97,65.46
"India","Asia/Pacific","IND","Subnat","INDr127","Uttaranchal",68.72,69.19,69.65,69.69,69.77,69.82,69.88,69.97,70.04,70.14,70.28,70.37,70.58,70.74,70.84,70.99,71.07,70.91,70.74,70.58,70.45,70.38,70.39,70.45,70.55,70.59,70.56,70.75,70.84,70.89,70.13,67.22,67.72
"India","Asia/Pacific","IND","Subnat","INDr122","West Bengal",59.87,60.28,60.69,61.41,62.17,62.91,63.66,64.43,65.20,65.98,66.29,66.55,66.92,67.25,67.52,67.83,68.09,68.42,68.75,69.07,69.43,69.85,70.35,70.89,71.47,72.01,72.45,72.71,72.86,72.96,72.18,69.19,69.70
