Entity,Code,Year,Cereals | 00001717 || Area harvested | 005312 || hectares,Cereals | 00001717 || Production | 005510 || tonnes,Cereals | 00001717 || Yield | 005412 || tonnes per hectare,Population (historical)
India,IND,1961,92239016,87376500,0.9473,446564674
India,IND,1962,93852008,87257550,0.9297001,457283043
India,IND,1963,93571016,90373010,0.96580005,468138526
India,IND,1964,94306008,93706000,0.9936,479229550
India,IND,1965,93277016,79699500,0.85440004,490140093
India,IND,1966,92729816,80137610,0.86420006,500740202
India,IND,1967,96062008,95453500,0.9937001,511606346
India,IND,1968,98822912,102443710,1.0366,522716839
India,IND,1969,100872592,106291250,1.0537,533880495
India,IND,1970,100377008,113909500,1.1348001,545864222
India,IND,1971,99673104,113238296,1.1361,558096336
India,IND,1972,98043808,108615460,1.1078001,570482089
India,IND,1973,103788912,119648216,1.1528001,583465547
India,IND,1974,99388720,106793000,1.0745001,597041345
India,IND,1975,101366912,127807800,1.2608001,611309484
India,IND,1976,101465120,121625100,1.1987,625861838
India,IND,1977,103723616,138062910,1.3311,640801057
India,IND,1978,104340000,142964700,1.3702,655728181
India,IND,1979,103473312,126470300,1.2223,671155694
India,IND,1980,104067000,140490600,1.35,687353977
India,IND,1981,105508304,147583800,1.3988001,703696202
India,IND,1982,101083696,136101400,1.3464001,720313419
India,IND,1983,106613208,166781700,1.5644001,737372629
India,IND,1984,105175600,164477600,1.5638001,754875401
India,IND,1985,104056592,165682190,1.5922,772647748
India,IND,1986,104049216,164955220,1.5854001,790689937
India,IND,1987,98573600,156114500,1.5837001,808931212
India,IND,1988,103542720,183867000,1.7758001,827342945
India,IND,1989,104055696,199413220,1.9164001,846039483
India,IND,1990,102536512,193919310,1.8912001,864972170
India,IND,1991,100243408,193101200,1.9263002,883927551
India,IND,1992,99499504,201468400,2.0248,902957019
India,IND,1993,100066496,208626900,2.0849,922118324
India,IND,1994,100184200,211941400,2.1155002,941163717
India,IND,1995,99450800,210012500,2.1117,960300991
India,IND,1996,100300000,218750900,2.181,979678413
India,IND,1997,100167200,223232400,2.2286003,999133716
India,IND,1998,100904200,226877000,2.2484,1018665024
India,IND,1999,102091696,236205600,2.3137,1038225772
India,IND,2000,102402400,234931200,2.2942,1057922676
India,IND,2001,100271104,242963790,2.4231002,1077898527
India,IND,2002,94470896,206636700,2.1873002,1097600334
India,IND,2003,98603104,236592700,2.3994,1116802952
India,IND,2004,97805696,229845500,2.3500001,1135991467
India,IND,2005,99519200,239997490,2.4116,1154676277
India,IND,2006,99236800,242785580,2.4465,1172878840
India,IND,2007,100833504,260485900,2.5833,1190675980
India,IND,2008,101155504,266835300,2.6379,1207930907
India,IND,2009,97171600,250783400,2.5808,1225524711
India,IND,2010,100075800,267838300,2.6764,1243481513
India,IND,2011,100625696,287860000,2.8607001,1261224903
India,IND,2012,98969000,293290000,2.9635,1278674446
India,IND,2013,99299952,295669500,2.9775002,1295829456
India,IND,2014,100160240,297113500,2.9664001,1312277131
India,IND,2015,100210200,285997000,2.854,1328024445
India,IND,2016,98613400,295359000,2.9951003,1343944244
India,IND,2017,99566816,311410340,3.1277,1359657354
India,IND,2018,98093072,321550660,3.278,1374659017
India,IND,2019,95126096,324951330,3.4160001,1389030252
India,IND,2020,101113920,342151900,3.3838003,1402617645
India,IND,2021,101522008,355108300,3.4978,1414203840
India,IND,2022,100990760,362466720,3.5891004,1425423157
India,IND,2023,103299120,374600060,3.6264,1438069540